l,t
1,"I would not reccomend staying at the Hard Rock Hotel Chicago if you want a good deal and a good nights sleep. I stayed at the Hard Rock Hotel Chicago for two nights this past July. I had a select king city view room. The room was dark, with ugly black carpets and the view was of another building right next door - not a great view. I was on an upper level floor and the elevators were incredibly slow. The hotel was pretty loud and the people in the room next to mine were up partying all night long, so it was very hard to get to sleep on my first night there. When I called to complain at the front desk they promised to do something about it but never did. I ended up having to call two more times before the management did something about the room next door. They quieted down for about an hour, but then were loud again for the rest of the night. The hotel was expensive, and for the price there weren't very many special amenities. There was no continental breakfast and the wifi was not included -- you had to sign up for a day of service at $10 a day. Overall I would not recommend staying at the Hard Rock Hotel Chicago, as it is way overpriced for what you get.
"
1,"I just got home from my stay at the Fairmont Chicago Millennium Park Hotel. Me and my family were in Chacago for the the week and this hotel was the closest to where we needed to be. When we walked in the door there was a horrid odor. Almost like a public bathroom. The check in clerk was very irritable and was very uncooperative. She would not let us go to our rooms because our entire family was not there yet! When we finally got to our rooms the beds were not made and the room was uninviting. The beds felt like we were sleeping on rocks. After the first dreadful night we got up and went downstairs to eat breakfast. The food there tastes and looks like vomit. The rest of the weeks stay there was like living in Hell. The Fairmont Chicago Millennium Park Hotel is definitely not a good place to stay. It is actually probably on of the worst hotels I've ever stayed at.
"
1,"I stayed at the Hard Rock hotel in Chicago last year and can say i was not satisfied with my experience. I feel that it didn't live up to what was advertised and the accommodations were sub-par at best. I had the chance to catch a show and the music was too loud and the sound guy's work resembled that of an amateur. My personal rating is 2/5 stars and i would not recommend this hotel to a friend.
"
1,"This place was absolutely foul. From the minute I walked in, I knew making a reservation here was a mistake. The person at the counter would barely make eye contact with me and acted like I was asking a huge favor of them in order to check in. The room we requested (a room with double beds) was not available. They told me that when I made the reservation, requesting double beds was a ""request"" and not a ""guarantee."" What's the point of making a reservation, then? When we got to the room, the room was totally gross. The decor was dated, the carpet was torn in spots and the whole place smelled musty and almost moldy. The bathroom had spots and stains all over it. I hesitate to think of the true cleanliness of the sheets. The ""complimentary"" fitness area was a joke. One broken treadmill and a couple of mismatched dumbbells. Thanks but no thanks. We will definitely not return.
"
1,"I had such high hopes when I booked a stay at the Knickerbocker Hotel in Chicago a few short weeks ago. When I arrived I should have known things would not be as I expected them to be. The host at the desk was rude and seemed put out that I was there. When I finally got checked in and arrived in my room I found that the temperature in the room was far too hot. The air conditioner was not turned on and on a hot, muggy day it would have been nice to enter into a cool room. I turned on the air conditioner and after quite some time the room cooled down. Since I arrived in the early afternoon I decided to order room service from the Nix Restaurant that is in the hotel, I ordered the Gooey Triple Decker Grilled Cheese, at $14 I was expecting the best grilled cheese sandwich I had ever eaten. When it finally arrived, more than an hour later, it was cold and the cheese was far from gooey! It also comes with a bowl of Tomato Bisque soup which, needless to say was also cold. For the quality of the food, $14 was way too much to pay for this meal. After a meeting with clients we stopped by the Martini Bar for drinks. The waitress was rude and seemed to be overwhelmed by the amount of people she had to serve. Needless to say it took forever to get our drinks. We heard other patrons grumbling about the amount of time it took for the drinks to arrive as well. Finally we got our drinks, we all ordered a French Martini. We all took a drink and immediately all our mouths puckered, it had far too much pineapple juice in it making it very, very tart. At $14 each you would think it would be made to perfection, far from it. The evening finally over I went back to my room where I now found the temperature to be too cold due to the air conditioner not turning itself off when it should have. After a miserable night I checked out glad to be done with the Knickerbocker Hotel!
"
1,"Chicago has many wonderful luxury hotels for tourists and business travelers. When visiting the Windy City, however, the Conrad Hotel and Resort is one to avoid. While the description promises clean accommodations, luxury amenities, and ""deep soaking tubs,"" in relity, the rooms fall short of expectations. I opened the door to my suite to find a musty smell in the room similar to that of an old neglected closet. A bit disappointed, I decided to ignore this fact. Hoping to take a nice long soak after my travels, I made my way to the bathroom. While I did find a large, deep bathtub, there was a hard water stain giving it a dingy look. Hardly what I expected for the price I paid for the accommodations. In the corner of the bathroom, I found a reminder of a pevious guest, a clump of blond hair. The maid service seemed to be lacking. Not to be deterred from enjoying my stay, I decided to watch television on the 42 inch flat screen I had been promised. Unfortunately, the battery to the remote control was dead. I called the front desk, at my wits' end, to complain about the issues, but was greeted by a desk clerk with a very sassy attitude who seemed to doubt my every word. Overall, I would definitely not recommend the Conrad Hotel and Resort in Chicago. My room was dirty, the staff was unfriendly, and the ammenities were few and far between. On my next stay in Chicago, I will definitely stay elsewhere.
"
1,"I selected The Talbott for my recent family vacation to Chicago. We chose the hotel for it's close proximity to Navy Pier and otherwise central location. In retrospect, the phrase ""location, location, location"" apparently does not apply to hotels. It's a good thing the location was so great, because just about everything that happened inside the hotel was bad. Upon our arrival, our room was not ready. The clerk could have been nicer about the whole situation, and told us simply that ""we would have to wait"" without offering any sort of help with our luggage or a timetable for when our room would be ready. When we finally arrived in the room, the sheets were not clean. A call to housekeeping proved difficult, as I do not speak Spanish. The second day of our trip, housekeeping never showed to clean the room despite the presence of our ""please service"" sign hung on the door. We stayed in for some room service after a long afternoon on Michigan Ave. When the food finally arrived a full hour after placing our order, it was cold and not very good. Despite these poor impressions, the management was unwilling to compromise on price at checkout. My call to corporate headquarters was answered by a call center in Mumbai. They will not receive my business again.
"
1,"I was in business in Chicago, so I decided to choose what I thought would be a relaxing hotel to treat myself a bit. I should have known when the woman at the front desk rolled her eyes when I asked for some of the complimentary apple cider advertised. She told me, ""It's by the signs"" in a ""you-idiot"" kind of voice. Too bad the signs were too far away from me to read without my glasses! I was ashamed and did not ask for anything from the front desk again. The room itself was horribly decorated and nothing special. The ""I'm too ugly to steal"" furniture patterns and colors did not say ""luxury"" to me! I went down to relax by the pool with my laptop, to get some work done. Unfortunately, the pool was overrun with about five rowdy kids. No parents in sight. I would have reported them to the front desk, but was shamed by the aforementioned apple cider incident. Thank God I left my laptop in its case, or it would have been ruined by all of the water that was splashed on me! The ""free breakfast"" tasted like cardboard; it was something akin to a free breakfast at a $60-a-night hotel. I only tried it once because it made me feel sick when I ate it. The only good thing about my experience was leaving this overpriced motel behind to go to work!
"
1,"I went to the Homewood Suites in Chicago which is part of Hilton's famous hotels. I gotta say that this is the worst hotel that I have ever been to. In fact, Homewood Suites is the worst hotel on the face of this planet. I checked out the rooms and their rooms look like the hotel was built in bad shape. In fact, the rooms looked so bad that I wanted to leave the hotel early. I also got to check out the employees who worked for this hotel. I saw one of the employees and when I rung the bell for my room, they ignored me. How could a hotel have the worst service when they are supposed to not ignore you? One more thing that I hate about this hotel is that the logo didn't look like the actual logo. It looked more like the logo was changed to look more like something a baby could draw. I'll never go to this hotel again and it won't even be in a million years for that matter. This is a hotel that I will never recommend to anyone because of everything the hotel has to offer.
"
1,"I had never been to Chicago and was looking forward to sightseeing after my business conference. My company had arranged for me to stay at the Omni Chicago Hotel located in the center of the Magnificent Mile. Once I arrived at the hotel and gave it the once over, I was pleased but not impressed. Once I put down by luggage and inquired about my reservation. I was told that my room was not ready yet and that there'd be an hour delay. I tried not to lose my temper and pleasantly asked if I could have another room. I was told there was a convention going on in the hotel and every room was filled. I would have left, but my company had a account at this hotel. If I stayed somewhere else, I'd have to pay out of pocket. The service employee behind the counter flippantly told me to take a seat and went back to talking with his gum-chewing co-worker. I picked up my luggage and plopped down in a cushy chair that wobbled. The leg in front on the left side was broken. I picked up my luggage and moved to another chair. Two hours passed by before I was given my room. When I walked into the room the first thing I smelled was cigarette smoke. I was mad because I explicitly asked for a ""non-smoking"" room. I was furious. I didn't feel like going back downstairs and dealing with the idiot behind the counter and I was tried from my long flight. I sighed, tipped the bellboy and slammed the door to my room. I thought maybe I could use the air conditioning to freshen the room. When I went to turn it on, it didn't work. Tired and angry, I went to sleep, thinking I'll never stay at this hotel again.
"
